Year,Film,Publisher,Director,Distributor,Worldwide Gross,Notes
2014,X-Men: Days of Future Past,Marvel Comics,Bryan Singer,20th Century Fox,,Sequel to 2011's X-Men: First Class and the X-Men film trilogy
2014,Teenage Mutant Ninja Turtles,Mirage Comics,Jonathan Liebesman,Paramount Pictures,,Reboot of the Teenage Mutant Ninja Turtles film franchise
2014,Guardians of the Galaxy,Marvel Comics,James Gunn,Walt Disney Studios Motion Pictures,,
2015,The Fantastic Four,Marvel Comics,Josh Trank,20th Century Fox,,Reboot of the Fantastic Four film franchise
2015,Avengers: Age of Ultron,Marvel Comics,Joss Whedon,Walt Disney Studios Motion Pictures,,Sequel to 2012's The Avengers
2015,Ant-Man,Marvel Comics,Edgar Wright,Walt Disney Studios Motion Pictures,,
2016,Third Captain America film,Marvel Comics,Anthony and Joseph Russo,Walt Disney Studios Motion Pictures,,Sequel to 2014's Captain America: The Winter Soldier
2016,Untitled Man of Steel sequel,DC Comics,Zack Snyder,Warner Bros. Pictures,,"Crossover team up with Superman, Batman and Wonder Woman; sequel to 2013's Man of Steel;"
2016,X-Men: Apocalypse,Marvel Comics,Bryan Singer,20th Century Fox,,Sequel to X-Men: Days of Future Past
2016,The Amazing Spider-Man 3,Marvel Comics,,Columbia Pictures,,Sequel to 2014's The Amazing Spider-Man 2
2017,Untitled The Wolverine Sequel,Marvel Comics,,20th Century Fox,,Sequel to The Wolverine
2017,Untitled The Fantastic Four Sequel,Marvel Comics,,20th Century Fox,,Sequel to the reboot of the Fantastic Four film franchise
2018,The Amazing Spider-Man 4,Marvel Comics,,Columbia Pictures,,Sequel to 2016's The Amazing Spider-Man 3
